"filename", "language", "YAML", "Markdown", "Dart", "Swift", "C++", "XML", "JSON", "Groovy", "Properties", "comment", "blank", "total"
"c:\Uni\bakis\Projektas\reservation_app\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Uni\bakis\Projektas\reservation_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 11, 60
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 11, 1, 44
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Uni\bakis\Projektas\reservation_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Uni\bakis\Projektas\reservation_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Uni\bakis\Projektas\reservation_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Uni\bakis\Projektas\reservation_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\Uni\bakis\Projektas\reservation_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Uni\bakis\Projektas\reservation_app\integration_test\app_test.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 11, 10, 38
"c:\Uni\bakis\Projektas\reservation_app\integration_test\driver.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 3, 9
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Uni\bakis\Projektas\reservation_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\interfaces\json_format.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\login\login_request.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\login\login_request.g.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\login\login_response.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\login\login_response.g.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\register\register_request.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\register\register_request.g.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\reservations\new_reservation.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\reservations\new_reservation.g.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\reservations\reservation_list_item.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\reservations\reservation_list_item.g.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 10, 74
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\reservations\reservation_state.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\open_hours.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\open_hours.g.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 5, 22
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_item_base.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_table.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_table.g.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_wall.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\plan_wall.g.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\restaurant_plan.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\plan\restaurant_plan.g.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_details.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_details.g.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_list_item.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\restaurants\restaurant_list_item.g.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\utils\id_wrapper.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Uni\bakis\Projektas\reservation_app\lib\Models\utils\new_reservation_params.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Uni\bakis\Projektas\reservation_app\lib\config\environment.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Uni\bakis\Projektas\reservation_app\lib\home.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Uni\bakis\Projektas\reservation_app\lib\login.dart", "Dart", 0, 0, 187, 0, 0, 0, 0, 0, 0, 2, 20, 209
"c:\Uni\bakis\Projektas\reservation_app\lib\main.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Uni\bakis\Projektas\reservation_app\lib\qr_scan.dart", "Dart", 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 27, 414
"c:\Uni\bakis\Projektas\reservation_app\lib\qr_scan_confirm.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Uni\bakis\Projektas\reservation_app\lib\register.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 1, 17, 191
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\date_time_picker.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 16, 178
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\make_reservation.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 23, 196
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\reservation_created.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\reservation_summary.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 4, 172
"c:\Uni\bakis\Projektas\reservation_app\lib\reservation\table_picker.dart", "Dart", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 32, 275
"c:\Uni\bakis\Projektas\reservation_app\lib\reservations.dart", "Dart", 0, 0, 321, 0, 0, 0, 0, 0, 0, 2, 33, 356
"c:\Uni\bakis\Projektas\reservation_app\lib\restaurant_details.dart", "Dart", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 11, 200
"c:\Uni\bakis\Projektas\reservation_app\lib\restaurants.dart", "Dart", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 24, 203
"c:\Uni\bakis\Projektas\reservation_app\lib\services\animated_routes.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Uni\bakis\Projektas\reservation_app\lib\services\http_requests.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Uni\bakis\Projektas\reservation_app\lib\services\jwt_helper.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Uni\bakis\Projektas\reservation_app\lib\splash.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Uni\bakis\Projektas\reservation_app\lib\utils\loading_spinner.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Uni\bakis\Projektas\reservation_app\pubspec.yaml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 91
"c:\Uni\bakis\Projektas\reservation_app\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 29, 13, 3033, 12, 1, 127, 145, 81, 8, 177, 489, 4115